dim	coefficient
596	302.4996593641331
597	302.62178407825206
598	304.10840656431213
599	293.79647555448497
600	306.838578068283
601	295.8533539483835
602	303.8428611423411
603	296.40609879886046
604	281.83339151020795
605	305.38567159991203
606	298.20977283087166
607	304.9564608307765
608	299.9576536669108
609	275.8635373815754
610	306.62219023793205
611	286.2752214930928
612	294.9153396454028
613	311.338361814558
614	310.0770910463155
615	274.5995302982224
616	288.9773804512299
617	300.07016450494837
618	300.6884315508224
619	306.5301935871463
620	307.7466518139248
621	304.08919325532565
622	287.99544237700644
623	295.98768741634734
624	291.0851052626665
625	303.51209771011685
626	299.67070995254005
627	307.63738510102814
628	296.37075796213946
629	284.27214621362435
630	306.0676557159082
631	295.9032796179011
632	298.1932460774585
633	299.9090982686925
634	296.6033715725183
635	287.7920833177858
636	297.17848452640357
637	289.4277890525264
638	297.0886968864783
639	272.45007678204547
640	298.0258394909738
641	295.29060373599805
642	307.7416360676731
643	309.75913201973856
644	289.1250581319583
645	282.93833979954104
646	303.62060751462786
647	297.6362036042202
648	302.7447589111917
649	298.7913338083674
650	311.5629638872003
651	303.9443589194115
652	295.50928945929644
653	305.8431607011079
654	299.30089367057707
655	302.3657436056948
656	288.3650174064371
657	299.60533734270336
658	310.1297357883802
659	300.39693733651876
660	298.16683772261575
661	284.21207227957757
662	296.9168446858315
663	294.69007784869274
664	304.88412303106963
665	306.67005039977664
666	291.06846469601373
667	371.3966780659769
668	299.1671985321617
669	292.54714171877924
670	293.51497934366677
671	306.57102135489254
672	304.25972366098665
673	306.5450037970634
674	291.9648565263494
675	295.72618853915253
676	302.93125308816855
677	300.233437302085
678	299.97746674052905
679	307.0877504436826
680	290.8304738873895
681	300.8120842445021
682	306.8960117108043
683	289.3614359235429
684	281.8757927782925
685	304.00425893854805
686	305.2356512031234
687	271.5260269605151
688	301.01459162292394
689	296.8454378091609
690	302.8055677296632
691	306.04655232474335
692	300.68040834818055
693	294.5908823911746
694	299.11532267754745
695	292.76435271493784
696	278.23348615199706
697	299.25771139240965
698	311.7950907653783
699	288.58167435903806
700	295.73737904321985
701	291.4350185736412
702	290.6754332070366
703	297.55226284205696
704	302.5067713495848
705	300.65620041450086
706	293.4605105382248
707	295.70771827771904
708	292.04654722414443
709	299.5320645996227
710	309.3202467785584
711	304.8224406749324
712	303.04592575059183
713	300.9255512126661
714	303.9632808245532
715	298.44774873123157
716	282.76311922710005
717	284.9953916857156
718	295.66901079280365
719	303.0437083660769
720	302.63232283386753
721	296.3960482042747
722	298.02209510547135
723	287.60176911490055
724	299.4836008938738
725	302.2965643105549
726	305.507250535421
727	277.1264786610398
728	298.4380498181219
729	305.58926958432403
730	302.75974108185125
731	278.59612573546036
732	303.0247473935491
733	293.54444077692006
734	302.49228357850836
735	305.14000278569597
736	303.5231358014588
737	302.4070509967007
738	297.3228618315584
739	302.34380023144354
740	292.8643085043925
741	291.20367392171937
742	314.41736555648873
743	268.27305751830085
744	299.9255037136119
745	293.84829077409967
746	298.3593668715817
747	294.4866717809029
748	289.2316141009039
749	291.8056379569091
750	290.1963883517326
751	298.9095618835494
752	356.0611246329339
753	289.594452972553
754	306.7109660449066
755	305.24007623416287
756	289.12943230475287
757	297.0000870264637
758	299.9101228431278
759	292.19902549154364
760	309.9633898598836
761	310.9872055757182
762	299.95762401528157
763	300.7108132257529
764	301.5787602187265
765	301.11987024053474
766	304.10741400246155
767	295.60561274291155
